Submission Code,Presentation Number,Contact Email,Corresponding Author,Students,Advisors,Major,Title,Video,Abstract,Slides
152-Angeles,152,,,"Maya Angeles, Jacquelyn Lopez",Sarah Stanlick,Robotics Engineering,Leveraging Artificial Intelligence and Machine Learning to Support Vulnerable Populations,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
153-Bedre,153,,,"Ishani Bedre, Angel Fernandez","Biochemisty, Mechanical Engineering, Robotics Engineering",Patricia Musacchio,Using DOE Analysis To Optimize Ch Functionalization Reactions,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
154-Benazzi,154,,,"Michela Benazzi, Isabella Piccione",Chemical Engineering and Interdisciplinary (Ecological Design for Development),"Kristin Boudreau, David DiBiasio","Designing Hands-on, Context-Rich STEM Activities for Classroom Learning about Climate Change Mitigation and Threatened Communities and Climate Change Refugees","<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
155-Brodin,155,,,"Robert Brodin, Emily Musser","Biology & Biotechnology, Bioinformatics & Computational Biology, Computer Science",Chun-Kit Ngan,Optimizing Dynamic Convolutional Neural Networks for Skin Cancer Classification,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
156-Drapeau,156,,,"Alison Drapeau, Samantha Havel",Biomedical Engineering,Haichong Zhang,Bio-Incubator Ultrasound Imaging-Based Monitoring System,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
157-Endo,157,,,"Mariko Endo, Tyler Marcus",Interactive Media & Game Development,Jennifer deWinter,"Complex Simulations for Local Environmental Policy: Digitization, Analysis, and Activism","<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
158-Fichtner,158,,,Kaitlyn Fichtner,"Mechanical Engineering, Robotics Engineering",James Urban,Enhancing Fire Fighter Situational Awareness in Wildland Fires,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
159-Gatsonis,159,,,Constantina Gatsonis,Psychology,Angela Rodriguez,Daily Behaviors and Technology Use,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>","The goal of this project is to determine whether any associations can be made between daily caloric consumption and both the amount of time spent using a smartphone daily, as well as the time spent using specific app genres (i.e., entertainment, work and productivity, social media, etc.). Prior research has investigated how watching television affects our caloric consumption and it demonstrated that watching television is associated with increased caloric consumption, especially of unhealthy foods. Despite the prevalence of smartphones and their integration into our daily lives, similar research has yet to be done regarding smartphone usage. This project aims to fill this research gap in order to understand how smartphones affect us.","<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
160-Gonzales,160,,,Emily Gonzales,Chemical Engineering,Andrew Teixeira,Flow Chemistry for Continuous Pharmaceutical and Fine Chemical Manufacturing,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
161-Guan,161,,,Zijian Guan,Computer Science,Erin Solovey,Effects of Digital Jury Moderation on the Polarization of Social Media Users,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>",This is a test.,"<iframe src=""https://onedrive.live.com/embed?resid=79B772C1E1351D3E%21390&amp;authkey=%21ACJp28W9wxPqXQs&amp;em=2&amp;wdAr=1.7777777777777777"" width=""350px"" height=""221px"" frameborder=""0"">This is an embedded <a target=""_blank"" href=""https://office.com"">Microsoft Office</a> presentation, powered by <a target=""_blank"" href=""https://office.com/webapps"">Office</a>.</iframe>"
